message_id,judul,deskripsi,tema,lokasi,tanggal,waktu,tipe_budget,budget,status,negotiated_budget
1,Photoshoot Pernikahan,Butuh fotografer untuk acara pernikahan,wedding,Bandung,19-01-22,09:00,2,5000000,negotiation,1000
2,Prewedding Outdoor,Foto prewedding konsep alam,prewedding,Lembang,02-02-22,07:00,2,3500000,accepted,-
3,Foto Produk UMKM,Foto katalog produk makanan,produk,Bandung,10-02-22,10:00,1,300000,negotiation,1200000
4,Event Ulang Tahun,Foto acara ulang tahun anak,event,Bogor,15-02-22,15:00,1,250000,accepted,-
6,Wedding Intimate,Acara pernikahan sederhana,wedding,Depok,25-02-22,09:00,2,4500000,pending,-
7,Foto Fashion,Photoshoot model pakaian,fashion,Bandung,01-03-22,13:00,1,500000,pending,-
8,Foto Properti,Foto rumah untuk iklan,properti,Tangerang,05-03-22,10:00,2,2000000,pending,-
9,photoshoot ibrahim,"sesi pemotretan yang berlangsung di ujung berung, bandung",outdoor,ujung berung,19-02-25,09:21,1,35000,pending,-
10,foto mini soccer,anuan,sport,lapangan mini soccer cibir,21-12-25,20:00,1,100000,accepted,12
11,q,q,q,q,21-12-25,09:00,2,5000,accepted,7500
